"pair_id","night_date","bed_datetime","bed_hour","bed_weight_kg","bed_fat_pct","wake_datetime","wake_hour","wake_weight_kg","wake_fat_pct","sleep_hours","weight_loss_g","r_g_per_hr","r_co2_est","co2_g","h2o_g","co2_pct","h2o_pct","fat_oxidized_g"
1,"2020-08-09","2020-08-09 04:41:00",4,89.4,26.1,"2020-08-09 13:51:00",13,89.3,25.6,9.17,100,10.91,-10.96,-101,201,-101,201,-36.1
2,"2021-05-31","2021-05-31 06:11:00",6,88.7,24,"2021-05-31 10:44:00",10,88.6,23.7,4.55,100,21.98,-10.96,-50,150,-50,150,-17.9
3,"2021-08-05","2021-08-05 07:06:00",7,89.1,25,"2021-08-05 16:40:00",16,88.9,23.2,9.57,200,20.91,-10.96,-105,305,-52.5,152.5,-37.5
4,"2021-08-05","2021-08-05 22:35:00",22,89.6,22.5,"2021-08-06 06:58:00",6,89,24.9,8.38,600,71.57,-10.96,-92,692,-15.3,115.3,-32.9
5,"2021-08-06","2021-08-06 08:59:00",8,89.7,23.6,"2021-08-06 13:39:00",13,89.1,22.2,4.67,600,128.57,-10.96,-51,651,-8.5,108.5,-18.2
6,"2021-08-06","2021-08-06 13:39:00",13,89.1,22.2,"2021-08-06 22:17:00",22,88.5,21.3,8.63,600,69.5,-10.96,-95,695,-15.8,115.8,-33.9
7,"2021-08-09","2021-08-09 00:38:00",0,88.9,21.2,"2021-08-09 10:06:00",10,88.4,25,9.47,500,52.82,-10.96,-104,604,-20.8,120.8,-37.1
8,"2021-08-09","2021-08-09 18:02:00",18,88.6,24,"2021-08-09 23:21:00",23,88.1,23,5.32,500,94.04,-10.96,-58,558,-11.6,111.6,-20.7
9,"2021-08-10","2021-08-10 00:22:00",0,88.6,22.8,"2021-08-10 07:36:00",7,88.1,24.4,7.23,500,69.12,-10.96,-79,579,-15.8,115.8,-28.2
10,"2021-08-10","2021-08-10 11:00:00",11,88,22.8,"2021-08-10 22:47:00",22,87.7,22.7,11.78,300,25.46,-10.96,-129,429,-43,143,-46.1
11,"2021-08-11","2021-08-11 00:58:00",0,88,22.6,"2021-08-11 07:02:00",7,87.5,25.4,6.07,500,82.42,-10.96,-67,567,-13.4,113.4,-23.9
12,"2021-08-13","2021-08-13 02:31:00",2,88,22.1,"2021-08-13 06:56:00",6,87.8,24.2,4.42,200,45.28,-10.96,-48,248,-24,124,-17.1
13,"2021-08-14","2021-08-14 11:33:00",11,87.9,24.1,"2021-08-14 19:09:00",19,87.7,20.8,7.6,200,26.32,-10.96,-83,283,-41.5,141.5,-29.6
14,"2021-08-15","2021-08-15 03:51:00",3,88.2,22.5,"2021-08-15 10:42:00",10,87.8,25,6.85,400,58.39,-10.96,-75,475,-18.8,118.8,-26.8
15,"2021-08-16","2021-08-16 23:53:00",23,89.8,22.3,"2021-08-17 07:56:00",7,88.3,24.7,8.05,1500,186.34,-10.96,-88,1588,-5.9,105.9,-31.4
16,"2021-08-18","2021-08-18 00:01:00",0,88.9,21.2,"2021-08-18 05:20:00",5,88.5,25.2,5.32,400,75.24,-10.96,-58,458,-14.5,114.5,-20.7
17,"2021-08-18","2021-08-18 23:34:00",23,88.3,22.7,"2021-08-19 08:48:00",8,87.4,25,9.23,900,97.47,-10.96,-101,1001,-11.2,111.2,-36.1
18,"2021-08-19","2021-08-19 15:01:00",15,89,23.3,"2021-08-19 23:54:00",23,87.8,22.4,8.88,1200,135.08,-10.96,-97,1297,-8.1,108.1,-34.6
19,"2021-08-21","2021-08-21 00:08:00",0,87.4,22.9,"2021-08-21 08:41:00",8,87,24.7,8.55,400,46.78,-10.96,-94,494,-23.5,123.5,-33.6
20,"2021-08-22","2021-08-22 01:40:00",1,87.2,22.6,"2021-08-22 07:30:00",7,86.8,25.1,5.83,400,68.57,-10.96,-64,464,-16,116,-22.9
21,"2021-09-03","2021-09-03 23:21:00",23,86.2,22.3,"2021-09-04 06:24:00",6,86,23.5,7.05,200,28.37,-10.96,-77,277,-38.5,138.5,-27.5
22,"2021-09-07","2021-09-07",0,87.8,22.4,"2021-09-07 04:00:00",4,87,23.6,4,800,200,-10.96,-44,844,-5.5,105.5,-15.7
23,"2021-09-10","2021-09-10 00:12:00",0,88.1,21.9,"2021-09-10 06:50:00",6,87.3,24.4,6.63,800,120.6,-10.96,-73,873,-9.1,109.1,-26.1
24,"2021-09-15","2021-09-15 03:02:00",3,87.3,24.4,"2021-09-15 10:55:00",10,87.1,23.6,7.88,200,25.37,-10.96,-86,286,-43,143,-30.7
25,"2021-09-16","2021-09-16 02:53:00",2,87.6,23.8,"2021-09-16 12:52:00",12,87.5,23.7,9.98,100,10.02,-10.96,-109,209,-109,209,-38.9
26,"2021-09-16","2021-09-16 22:21:00",22,88.3,21.9,"2021-09-17 03:33:00",3,88.2,24.6,5.2,100,19.23,-10.96,-57,157,-57,157,-20.4
27,"2022-03-09","2022-03-09 22:11:00",22,90,23.6,"2022-03-10 08:46:00",8,89.8,24.1,10.58,200,18.9,-10.96,-116,316,-58,158,-41.4
28,"2022-03-11","2022-03-11 01:15:00",1,89.2,23.5,"2022-03-11 06:43:00",6,88.8,25.1,5.47,400,73.17,-10.96,-60,460,-15,115,-21.4
29,"2022-03-15","2022-03-15 22:37:00",22,89.2,22.5,"2022-03-16 08:16:00",8,88.7,24.3,9.65,500,51.81,-10.96,-106,606,-21.2,121.2,-37.9
30,"2022-03-18","2022-03-18 23:12:00",23,89.3,22.6,"2022-03-19 06:30:00",6,89,24.4,7.3,300,41.1,-10.96,-80,380,-26.7,126.7,-28.6
31,"2022-03-20","2022-03-20 23:49:00",23,90,23,"2022-03-21 08:11:00",8,89.3,23.4,8.37,700,83.67,-10.96,-92,792,-13.1,113.1,-32.9
32,"2022-03-22","2022-03-22 22:41:00",22,88.5,22.3,"2022-03-23 08:21:00",8,87.9,25.4,9.67,600,62.07,-10.96,-106,706,-17.7,117.7,-37.9
33,"2022-04-01","2022-04-01 00:20:00",0,88.3,20.4,"2022-04-01 10:28:00",10,87.8,23.4,10.13,500,49.34,-10.96,-111,611,-22.2,122.2,-39.6
34,"2022-04-06","2022-04-06 23:08:00",23,86.9,22.2,"2022-04-07 08:22:00",8,86.8,23.3,9.23,100,10.83,-10.96,-101,201,-101,201,-36.1
35,"2022-04-07","2022-04-07 22:32:00",22,86.4,22.3,"2022-04-08 08:59:00",8,86.2,24.1,10.45,200,19.14,-10.96,-115,315,-57.5,157.5,-41.1
36,"2022-04-10","2022-04-10 20:56:00",20,86.9,20.1,"2022-04-11 08:14:00",8,86.3,23.8,11.3,600,53.1,-10.96,-124,724,-20.7,120.7,-44.3
37,"2022-04-11","2022-04-11 22:23:00",22,86,21.6,"2022-04-12 05:34:00",5,85.8,24.5,7.18,200,27.84,-10.96,-79,279,-39.5,139.5,-28.2
38,"2022-06-29","2022-06-29 02:21:00",2,88.5,23.4,"2022-06-29 11:24:00",11,87.9,24.7,9.05,600,66.3,-10.96,-99,699,-16.5,116.5,-35.4
39,"2023-08-04","2023-08-04 02:26:00",2,93.7,25.4,"2023-08-04 07:06:00",7,93.3,24.5,4.67,400,85.71,-10.96,-51,451,-12.8,112.8,-18.2
